,Suburb,Location,Region,Reported,Updated,Type,Information
6304,Yarra-ranges,Don Road (C506),Melbourne-metropolitan,"9 Oct, 2016 - 3:12 PM","9 Oct, 2016 - 3:13 PM",Road Closed - Debris,Tree has fallen and is blocking road near Dalry Rd. Closed in both directions. Avoid and seek alternative route. 
6305,Wangaratta,Wangaratta Road (C314),Hume,"9 Oct, 2016 - 3:07 PM","9 Oct, 2016 - 3:08 PM",All lanes closed southbound - Flood,Sandbagging taking place at river. All southbound lanes have been closed. 
6306,Wangaratta,Hume Freeway (M31),Hume,"9 Oct, 2016 - 3:04 PM","9 Oct, 2016 - 3:06 PM",1 lane closed eastbound - Vehicle Collision,Truck has run off road after Greta Rd exit. Left lane closed eastbound. 
6307,Golden-plains,Hamilton Highway (B140),Grampians,"9 Oct, 2016 - 2:14 PM","20 Oct, 2016 - 9:57 AM",Road Reopened - Weather,0
6308,Dandenong,Dandenong-Hastings Road (M780),Melbourne-metropolitan,"9 Oct, 2016 - 1:48 PM","9 Oct, 2016 - 2:33 PM",Traffic Alert - Emergency Works,The Western Port Hwy is closed to all southbound traffic at Thompsons Rd due to a fallen power pole.
6309,Murrindindi,Maroondah Highway (B360),Hume,"9 Oct, 2016 - 1:11 PM","9 Oct, 2016 - 8:37 PM",Road Closed - Weather,Due to numerous trees down the road is closed.   Alternate route is the Melba Hwy and Goulburn Valley Hwy The duration of works is unknown. 
6310,Maroondah,Heatherdale Road,Melbourne-metropolitan,"9 Oct, 2016 - 6:47 PM","9 Oct, 2016 - 10:51 PM",Incident Cleared - Emergency Incident,0
6311,Yarra-ranges,Maroondah Highway (B360),Melbourne-metropolitan,"9 Oct, 2016 - 6:24 PM","9 Oct, 2016 - 8:32 PM",Road Reopened - Weather,0
6312,Yarra-ranges,Don Road (C506),Melbourne-metropolitan,"9 Oct, 2016 - 6:09 PM","9 Oct, 2016 - 8:32 PM",Road Reopened - Weather,0
6313,Yarra-ranges,Badger Creek Road (C505),Melbourne-metropolitan,"9 Oct, 2016 - 5:51 PM","9 Oct, 2016 - 5:54 PM",Road Reopened - Debris,0
6314,Baw-baw,Mt Baw Baw Tourist Road (C426),Gippsland,"9 Oct, 2016 - 5:44 PM","12 Oct, 2016 - 5:45 PM",Incident Cleared - Debris,0
6315,Whitehorse,Burwood Highway,Melbourne-metropolitan,"9 Oct, 2016 - 4:47 PM","9 Oct, 2016 - 4:48 PM",Traffic Alert - Debris,Tree down on road near Morack Rd. Left lane closed eastbound. 
6316,Maroondah,Hull Road,Melbourne-metropolitan,"9 Oct, 2016 - 4:46 PM",0,Traffic Alert - Debris,Tree down near Sabato St. Westbound traffic affected. 
6317,Cardinia,Beaconsfield-Emerald Road (C406),Melbourne-metropolitan,"9 Oct, 2016 - 4:24 PM","10 Oct, 2016 - 3:10 PM",Road Reopened - Debris,0
6318,Colac-otway,Great Ocean Road (B100),Barwon,"9 Oct, 2016 - 4:14 PM","9 Oct, 2016 - 4:15 PM",Road Closed - Debris,Tree down near Red Johanna Rd. Police on site. Avoid and seek alt route. 
6319,Dandenong,Springvale Road,Melbourne-metropolitan,"9 Oct, 2016 - 4:12 PM","9 Oct, 2016 - 4:17 PM",All lanes closed southbound - Debris,Tree down. All southbound lanes closed between Paterson Rd and Harold Rd. One northbound lane has also been closed. Avoid the area and seek alt route. 
6320,Nillumbik,Ironbark Road,Melbourne-metropolitan,"10 Oct, 2016 - 7:40 AM","10 Oct, 2016 - 8:43 AM",Road Reopened - Vehicle Collision,0
6321,Dandenong,South Gippsland Freeway (M420),Melbourne-metropolitan,"10 Oct, 2016 - 7:22 AM","10 Oct, 2016 - 7:38 AM",All Lanes Now Open - Vehicle Collision,0
6322,Shepparton,Echuca Road (C355),Hume,"10 Oct, 2016 - 6:22 AM","10 Oct, 2016 - 6:23 AM",Road Closed - Vehicle Collision,Emergency services are attending a collision 5km nth of Mooroopna.The collision has closed the road.Avoid the area alternate route Tatura- Undera Rd 
6323,Yarra-ranges,Myers Creek Road,Melbourne-metropolitan,"10 Oct, 2016 - 6:22 AM","10 Oct, 2016 - 6:16 PM",Road Closed - Emergency Works,Myers Creek Rd closed between Valley Farm Rd and Trench Farm Rd for power lines down. Traffic managemnet in place. Please avoid the area and seek alternate route. Road expected to remain closed until late Tuesday. 
6324,Yarra-ranges,Healesville-Yarra Glen Road (C726),Melbourne-metropolitan,"10 Oct, 2016 - 6:01 AM","10 Oct, 2016 - 6:04 AM",Traffic Alert - Emergency Works, Healesville-Yarra Glen Rd between Old Healesville Rd and Houghtons Lane power lines down.Shuttle flow with speed reduced to 40 kmh.Long delays.
6325,Glen-eira,Kooyong Road,Melbourne-metropolitan,"10 Oct, 2016 - 5:08 AM","10 Oct, 2016 - 5:10 AM",Road Closed - Emergency Works,Kooyong Rd is closed in both directionsbetween Buxton st and Trevelyan St  for emergency power works. Local Detours in place. Please allow extra time if travelling through the area.
6326,Wyndham,Dohertys Road,Melbourne-metropolitan,"9 Oct, 2016 - 11:06 PM","9 Oct, 2016 - 11:08 PM",Road Reopened - Emergency Works,0
6327,Moorabool,Bacchus Marsh Road (C802),Grampians,"9 Oct, 2016 - 10:22 PM","9 Oct, 2016 - 11:07 PM",Road Reopened - Emergency Works,0
6328,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"9 Oct, 2016 - 8:16 PM","10 Oct, 2016 - 1:22 AM",Traffic Alert - Weather,Wind gusts across Victoria have disrupted power to traffic signals.Drive to the conditions.  
6329,Knox,Forest Road,Melbourne-metropolitan,"9 Oct, 2016 - 7:18 PM","9 Oct, 2016 - 9:00 PM",Road Closed - Weather,0
6330,Moira,Brooms Road,Hume,"10 Oct, 2016 - 8:57 AM","2 Dec, 2016 - 3:23 PM",Road Reopened - Flood,0
6331,Moira,Baxters Drive,Hume,"10 Oct, 2016 - 8:51 AM","14 Nov, 2016 - 1:33 PM",Road Reopened - Flood,0
6332,Moira,Brooks Road,Hume,"10 Oct, 2016 - 8:50 AM","20 Oct, 2016 - 12:08 PM",Road Reopened - Flood,0
6333,Moira,Griffiths Lane,Hume,"10 Oct, 2016 - 8:47 AM","19 Oct, 2016 - 1:15 PM",Road Reopened - Flood,0
6334,Moira,Gordons Road,Hume,"10 Oct, 2016 - 8:42 AM","19 Oct, 2016 - 9:42 AM",Road Reopened - Flood,0
6335,Moira,Kellys Road,Hume,"10 Oct, 2016 - 8:38 AM","19 Oct, 2016 - 9:42 AM",Road Reopened - Flood,0
6336,Melbourne,St Kilda Road,Melbourne-metropolitan,"10 Oct, 2016 - 8:31 AM","10 Oct, 2016 - 8:32 AM",Traffic Alert - Emergency Works,Left lane closed outbound near Bromby St for utility works. Speed limit reduced to 40km/h. 
6337,Melton,Hopkins Road (C702),Melbourne-metropolitan,"10 Oct, 2016 - 8:29 AM","10 Oct, 2016 - 8:30 AM",Traffic Alert - Emergency Works,Shuttle flow in place at Middle Rd for asphalt works. Speed limit reduced to 40km/h. Works expected to be completed by 12:00pm. 
6338,Moonee-valley,Mt Alexander Road,Melbourne-metropolitan,"10 Oct, 2016 - 7:58 AM","10 Oct, 2016 - 8:12 AM",Incident Cleared - Vehicle Collision,0
6339,Knox,Scoresby Road,Melbourne-metropolitan,"10 Oct, 2016 - 7:55 AM","10 Oct, 2016 - 7:56 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Anne Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 4:00pm. 
6340,Yarra-ranges,Swansea Road (C401),Melbourne-metropolitan,"10 Oct, 2016 - 12:26 PM","10 Oct, 2016 - 12:27 PM",Traffic Alert - Emergency Works,Left lane closed northbound between Mt Dandenong Rd and York Rd for drain cleaning works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
6341,Moira,Wilkinsons Road,Hume,"10 Oct, 2016 - 10:55 AM","20 Oct, 2016 - 12:10 PM",Road Reopened - Flood,0
6342,Manningham,Tram Road,Melbourne-metropolitan,"10 Oct, 2016 - 10:48 AM","10 Oct, 2016 - 10:49 AM",Traffic Alert - Emergency Works,Left lane closed southbound at Doncaster Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
6343,Moreland,Cumberland Road,Melbourne-metropolitan,"10 Oct, 2016 - 10:19 AM","10 Oct, 2016 - 10:20 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Essex St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 12:30pm. 
6344,Whitehorse,Burwood Highway,Melbourne-metropolitan,"10 Oct, 2016 - 10:06 AM","10 Oct, 2016 - 10:07 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Sevenoaks Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
6345,Melbourne,Royal Parade,Melbourne-metropolitan,"10 Oct, 2016 - 9:45 AM","10 Oct, 2016 - 9:46 AM",Traffic Alert - Emergency Works,Left lanes closed outbound between College Cr and Cemetery Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
6346,Monash,Blackburn Road,Melbourne-metropolitan,"10 Oct, 2016 - 9:41 AM","10 Oct, 2016 - 9:42 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Avonhurst Dr for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
6347,Port-phillip,Union Street,Melbourne-metropolitan,"10 Oct, 2016 - 9:39 AM","10 Oct, 2016 - 9:40 AM",Traffic Alert - Emergency Works,Left lane closed westbound between St Kilda Rd and Queens Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
6348,Moreland,Pascoe Vale Road,Melbourne-metropolitan,"10 Oct, 2016 - 9:14 AM","10 Oct, 2016 - 9:15 AM",Traffic Alert - Emergency Works,Left lane closed outbound at Main St for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
6349,Boroondara,Glenferrie Road,Melbourne-metropolitan,"10 Oct, 2016 - 9:12 AM","10 Oct, 2016 - 9:13 AM",Traffic Alert - Emergency Works,Left lane closed southbound between Cotham Rd and Wellington St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
6350,Hume,Western Ring Road (M80),Melbourne-metropolitan,"10 Oct, 2016 - 4:56 PM","10 Oct, 2016 - 4:57 PM",1 lane closed southbound - Vehicle Collision,Collision near Tullamarine Fwy blocking left lane Altona-bound. Traffic heavy on approach. 
6351,Moira,Moira Lakes Road,Hume,"10 Oct, 2016 - 4:35 PM","8 Nov, 2016 - 4:04 PM",Road Reopened - Flood,0
6352,Moira,Lawford Street,Hume,"10 Oct, 2016 - 4:31 PM","8 Nov, 2016 - 4:05 PM",Road Reopened - Flood,0
6353,Moira,Racecourse Road,Hume,"10 Oct, 2016 - 4:29 PM","10 Oct, 2016 - 4:32 PM",Road Reopened - Flood,0
6354,Moira,Corry Street,Hume,"10 Oct, 2016 - 4:22 PM","8 Nov, 2016 - 4:04 PM",Road Reopened - Flood,0
6355,Hume,Sydney Road,Melbourne-metropolitan,"10 Oct, 2016 - 3:33 PM","10 Oct, 2016 - 3:34 PM",Traffic Alert - Vehicle Collision,Collision near Augusta Ave has two lanes closed outbound. Emergency Services on site. 
6356,Moira,Walshs Bridge South Road,Hume,"10 Oct, 2016 - 3:04 PM","17 Oct, 2016 - 4:15 PM",Road Reopened - Flood,0
6357,Yarra-ranges,Belgrave-Hallam Road (C404),Melbourne-metropolitan,"10 Oct, 2016 - 3:02 PM",0,Road Closed - Emergency Works,BELGRAVE-HALLAM ROAD is closed in both directions due to power pole hanging over the road. Power authority on scene. Avoid the area and seek alternate route. Local Detour in place.
6358,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"10 Oct, 2016 - 2:32 PM","10 Oct, 2016 - 3:40 PM",All Lanes Now Open - Vehicle Breakdown,0
6359,Darebin,Plenty Road,Melbourne-metropolitan,"10 Oct, 2016 - 12:28 PM","10 Oct, 2016 - 12:30 PM",Traffic Alert - Emergency Works,Left lane closed northbound near Ethal Gr for water works. Speed limit reduced to 40km/h. Works expected to be completed by 2:30pm. 
6360,Moonee-valley,Mt Alexander Road,Melbourne-metropolitan,"11 Oct, 2016 - 9:28 AM","11 Oct, 2016 - 9:30 AM",Traffic Alert - Emergency Works,Outbound left lane closed at Thorn Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish at 3.30pm. VicRoads advises to take care when travelling through the area. 
6361,Frankston,Frankston-Dandenong Road,Melbourne-metropolitan,"11 Oct, 2016 - 8:42 AM","11 Oct, 2016 - 8:44 AM",Traffic Alert - Emergency Works,Northbound right lane closed near Lathams Road due to utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6362,Buloke,Warne Road,Loddon-mallee,"11 Oct, 2016 - 8:16 AM","7 Nov, 2016 - 9:57 AM",Road Reopened - Flood,0
6363,Knox,Scoresby Road,Melbourne-metropolitan,"11 Oct, 2016 - 7:42 AM","11 Oct, 2016 - 7:43 AM",Traffic Alert - Emergency Works,"Left lane closed northbound at Norma Cres, for water works. Speed limit reduced to 40km/h. Works expected to finish by 4.00pm. VicRoads advises motorists to allow extra time. "
6364,Yarra-ranges,Monbulk Road (C404),Melbourne-metropolitan,"11 Oct, 2016 - 4:20 AM","11 Oct, 2016 - 7:59 AM",Road Closed - Weather,"Road remains closed at Baynes Park Rd, due to a tree down over power lines. It's not known when the road will re-open. Power crews are on site. VicRoads advises motorists to detour via Kallista-Emerald Rd, and allow extra time. "
6365,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"10 Oct, 2016 - 5:47 PM","10 Oct, 2016 - 5:48 PM",1 lane closed outbound - Vehicle Collision,Collision near Williamstown Rd blocking left lane outbound. Traffic slow on approach. 
6366,Hume,Western Ring Road (M80),Melbourne-metropolitan,"10 Oct, 2016 - 5:23 PM","10 Oct, 2016 - 5:29 PM",3 lanes closed eastbound - Vehicle Collision,Multi-vehicle collision near Sydney Rd blocking 3 lanes Greensborough-bound. Traffic is heavy through the area. Avoid and seek alt route if possible. 
6367,Moonee-valley,Tullamarine Freeway,Melbourne-metropolitan,"10 Oct, 2016 - 5:18 PM","10 Oct, 2016 - 5:46 PM",All Lanes Now Open - Vehicle Collision,0
6368,Hume,Dalrymple Road,Melbourne-metropolitan,"10 Oct, 2016 - 5:16 PM","10 Oct, 2016 - 5:17 PM",Traffic Alert - Vehicle Collision,Collision between Mundy Rd and Riddell Rd affecting traffic in both directions. Avoid the area if possible. 
6369,Shepparton,Echuca Road (C355),Hume,"10 Oct, 2016 - 5:13 PM","10 Oct, 2016 - 5:14 PM",Road Closed - Vehicle Collision,0
6370,Hindmarsh,Ebenezer Mission Road,Grampians,"11 Oct, 2016 - 5:07 PM","11 Oct, 2016 - 5:10 PM",Road Closed - Flood,Road Closed due to minor flooding
6371,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"11 Oct, 2016 - 4:56 PM","11 Oct, 2016 - 5:23 PM",All Lanes Now Open - Vehicle Breakdown,0
6372,Casey,Monash Freeway (M1),Melbourne-metropolitan,"11 Oct, 2016 - 3:02 PM","11 Oct, 2016 - 4:19 PM",All Lanes Now Open - Vehicle Collision,0
6373,Hume,Western Ring Road (M80),Melbourne-metropolitan,"11 Oct, 2016 - 2:52 PM","11 Oct, 2016 - 3:36 PM",All Lanes Now Open - Vehicle Collision,0
6374,Moira,Ulupna Bridge Road,Hume,"11 Oct, 2016 - 2:49 PM","2 Dec, 2016 - 3:23 PM",Road Reopened - Flood,0
6375,Moira,Katamatite-Yarrawonga Road (C361),Hume,"11 Oct, 2016 - 11:01 AM","25 Nov, 2016 - 3:56 PM",Incident Cleared - Flood,0
6376,Glen-eira,East Boundary Road,Melbourne-metropolitan,"11 Oct, 2016 - 10:48 AM","11 Oct, 2016 - 10:50 AM",Traffic Alert - Emergency Works,"Right lane closed southbound at McKinnon Rd, for gas works. Speed limit reduced to 40km/h southbound and 60km/h northbound. Works expected to finish by 3.30pm. VicRoads advises motorists to allow extra time. "
6377,Brimbank,Calder Freeway (M79),Melbourne-metropolitan,"11 Oct, 2016 - 10:35 AM","11 Oct, 2016 - 10:36 AM",1 lane closed outbound - Vehicle Collision,"Left lane closed outbound between Kings Rd and Calder Park Dve, due to a collision. VicRoads and emergency services are on site. Delays on the approach. "
6378,Boroondara,High Street Road,Melbourne-metropolitan,"11 Oct, 2016 - 10:11 AM","11 Oct, 2016 - 10:12 AM",Road Closed - Vehicle Collision,"Road closed between Warrigal Rd and Queens Pde, due to a collision at Shaw St. Emergency services are on site. Please seek a local detour, expect delays in the area. "
6379,Glen-eira,Grange Road,Melbourne-metropolitan,"11 Oct, 2016 - 9:44 AM","11 Oct, 2016 - 9:45 AM",Traffic Alert - Emergency Works,Inbound left lane closed at Moodie Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 5.00pm. VicRoads advises to take care when travelling through the area. 
6380,Boroondara,Studley Park Road,Melbourne-metropolitan,"12 Oct, 2016 - 9:39 AM","12 Oct, 2016 - 11:47 AM",Incident Cleared - Emergency Works,0
6381,Glen-eira,Centre Road,Melbourne-metropolitan,"12 Oct, 2016 - 9:37 AM","12 Oct, 2016 - 9:38 AM",Traffic Alert - Emergency Works,"Left lane closed westbound at Gray St, for gas works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to allow extra time. "
6382,Moreland,Pascoe Vale Road,Melbourne-metropolitan,"12 Oct, 2016 - 9:27 AM","12 Oct, 2016 - 9:35 AM",Traffic Alert - Emergency Works,"Left lane closed inbound at Finchley Ave, for power works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to allow extra time. "
6383,Bayside,St Kilda Street,Melbourne-metropolitan,"12 Oct, 2016 - 9:25 AM","12 Oct, 2016 - 9:26 AM",Traffic Alert - Emergency Works,"Left lane closed southbound at Meek St, for power works. Speed limit reduced to 40km/h. Works expected to finish by 1.00pm. VicRoads advises motorists to allow extra time. "
6384,Boroondara,Whitehorse Road,Melbourne-metropolitan,"12 Oct, 2016 - 8:52 AM","12 Oct, 2016 - 8:53 AM",Traffic Alert - Emergency Works,"Left lane closed outbound at Banool Rd, for sewer works. Speed limit reduced to 40km/h. Works expected to finish by 12.00pm. VicRoads advises motorists to allow extra time. "
6385,Stonnington,Warrigal Road,Melbourne-metropolitan,"12 Oct, 2016 - 8:32 AM","12 Oct, 2016 - 8:34 AM",Traffic Alert - Emergency Works,"Left lane closed northbound at Midlothian St, for sewer works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to allow extra time. "
6386,Knox,Scoresby Road,Melbourne-metropolitan,"12 Oct, 2016 - 8:12 AM","12 Oct, 2016 - 8:13 AM",Traffic Alert - Emergency Works,"Left lane closed northbound between Norma Cr and Kent St, for water works. Speed limit reduced to 40km/h. Works expected to finish by 4.00pm. VicRoads advises motorists to allow extra time. "
6387,Dandenong,Chandler Road,Melbourne-metropolitan,"12 Oct, 2016 - 7:21 AM","12 Oct, 2016 - 7:22 AM",Traffic Alert - Emergency Works,"Left lane closed southbound at Railway Pde, for power works. Speed limit reduced to 40km/h. Works expected to finish by 5.00pm. VicRoads advises motorists to allow extra time. "
6388,Port-phillip,Queens Road,Melbourne-metropolitan,"12 Oct, 2016 - 6:59 AM","12 Oct, 2016 - 7:01 AM",Traffic Alert - Emergency Works,"Left lane closed outbound between Lorne St and Union St, for power works. Speed limit reduced to 40km/h. Works expected to finish by 4.00pm. VicRoads advises motorists to allow extra time. "
6389,Monash,Wellington Road,Melbourne-metropolitan,"12 Oct, 2016 - 6:50 AM","12 Oct, 2016 - 7:35 AM",All Lanes Now Open - Vehicle Collision,0
6390,Monash,Monash Freeway (M1),Melbourne-metropolitan,"12 Oct, 2016 - 11:55 AM","12 Oct, 2016 - 1:33 PM",Incident Cleared - Emergency Works,0
6391,Banyule,Heidelberg Road,Melbourne-metropolitan,"12 Oct, 2016 - 11:16 AM","12 Oct, 2016 - 11:17 AM",Traffic Alert - Emergency Works,Inbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6392,Whitehorse,Canterbury Road,Melbourne-metropolitan,"12 Oct, 2016 - 11:13 AM","12 Oct, 2016 - 11:14 AM",Traffic Alert - Emergency Works,Inbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. 
6393,Darebin,Albert Street,Melbourne-metropolitan,"12 Oct, 2016 - 11:08 AM","12 Oct, 2016 - 11:09 AM",Traffic Alert - Emergency Works,Inbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6394,Kingston,Centre Dandenong Road,Melbourne-metropolitan,"12 Oct, 2016 - 11:05 AM","12 Oct, 2016 - 11:06 AM",Traffic Alert - Emergency Works,Outbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. 
6395,Monash,Blackburn Road,Melbourne-metropolitan,"12 Oct, 2016 - 11:00 AM",0,Traffic Alert - Emergency Works,Southbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6396,Whitehorse,Elgar Road,Melbourne-metropolitan,"12 Oct, 2016 - 10:57 AM","12 Oct, 2016 - 10:58 AM",Traffic Alert - Emergency Works,Southbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6397,Moira,Sampsons Road E,Hume,"12 Oct, 2016 - 10:24 AM","8 Nov, 2016 - 2:14 PM",Road Reopened - Flood,0
6398,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"12 Oct, 2016 - 10:18 AM","12 Oct, 2016 - 1:33 PM",All Lanes Now Open - Vehicle Breakdown,0
6399,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"12 Oct, 2016 - 9:46 AM","12 Oct, 2016 - 10:09 AM",All Lanes Now Open - Vehicle Collision,0
6400,Kingston,South Road,Melbourne-metropolitan,"13 Oct, 2016 - 7:54 AM","13 Oct, 2016 - 9:30 AM",All Lanes Now Open - Vehicle Collision,0
6401,Port-phillip,Queens Road,Melbourne-metropolitan,"13 Oct, 2016 - 7:05 AM","13 Oct, 2016 - 7:07 AM",Traffic Alert - Emergency Works,"Left lane closed outbound between Lorne St and Union St, for power works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to allow extra time. "
6402,Kingston,Beach Road,Melbourne-metropolitan,"13 Oct, 2016 - 7:01 AM","13 Oct, 2016 - 9:29 AM",Incident Cleared - Emergency Works,0
6403,Melbourne,Collins Street,Melbourne-metropolitan,"12 Oct, 2016 - 11:22 PM","13 Oct, 2016 - 4:53 AM",Road Reopened - Vehicle Collision,0
6404,Gannawarra,Kerang-Quambatook Road (C262),Loddon-mallee,"12 Oct, 2016 - 4:10 PM","16 Oct, 2016 - 8:22 AM",Incident Cleared - Flood,0
6405,Moira,Nathalia-Waaia Road,Hume,"12 Oct, 2016 - 3:13 PM","18 Oct, 2016 - 2:40 PM",Road Reopened - Flood,0
6406,Glen-eira,Murrumbeena Road,Melbourne-metropolitan,"12 Oct, 2016 - 2:52 PM","12 Oct, 2016 - 10:15 PM",Incident Cleared - Emergency Works,0
6407,Boroondara,Chandler Highway,Melbourne-metropolitan,"12 Oct, 2016 - 1:57 PM","12 Oct, 2016 - 2:50 PM",All Lanes Now Open - Vehicle Collision,0
6408,Glen-eira,Jasper Road,Melbourne-metropolitan,"12 Oct, 2016 - 1:14 PM","12 Oct, 2016 - 1:15 PM",Traffic Alert - Emergency Works,"Left lane closed southbound at Patterson Rd, for gas works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. "
6409,Kingston,Balcombe Road,Melbourne-metropolitan,"12 Oct, 2016 - 12:06 PM","12 Oct, 2016 - 12:08 PM",Traffic Alert - Emergency Works,Eastbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish at 3.30pm. VicRoads advises to take care when travelling through the area. 
6410,Monash,Police Road,Melbourne-metropolitan,"13 Oct, 2016 - 11:37 AM","13 Oct, 2016 - 11:41 AM",Traffic Alert - Emergency Works,Outbound left lane closed at Wanda Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6411,Moira,River Road,Hume,"13 Oct, 2016 - 10:55 AM","17 Oct, 2016 - 10:41 AM",Road Reopened - Flood,0
6412,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"13 Oct, 2016 - 10:32 AM","13 Oct, 2016 - 1:23 PM",1 lane closed southbound - Vehicle Collision,"The right lane remains closed Altona-bound, after an earlier truck roll-over. All lanes are clear Greensborough-bound at Fitzgerald Rd. "
6413,Boroondara,Cotham Road,Melbourne-metropolitan,"13 Oct, 2016 - 10:23 AM","13 Oct, 2016 - 11:41 AM",Traffic Alert - Emergency Works,Outbound left lane closed at Mary Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to be completed by 3.00pm. VicRoads advises to take care when travelling through the area. 
6414,Moonee-valley,Mt Alexander Road,Melbourne-metropolitan,"13 Oct, 2016 - 10:20 AM","13 Oct, 2016 - 10:21 AM",Traffic Alert - Emergency Works,Outbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works are expected to be completed by 3.30pm. VicRoads advises to take care when travelling through the area. 
6415,Moreland,Nicholson Street,Melbourne-metropolitan,"13 Oct, 2016 - 10:12 AM","13 Oct, 2016 - 11:41 AM",Traffic Alert - Emergency Works,Inbound left lane closed at Blyth Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to be completed by 3.00pm. VicRoads advises to take care when travelling through the area. 
6416,Alpine,Great Alpine Road (B500),Hume,"13 Oct, 2016 - 9:37 AM","13 Dec, 2016 - 4:33 PM",Traffic Alert - Emergency Works,Speed limit reduced to 40km/h and a northbound lane closure near the 103km mark. Traffic will be alternated through the open lane via traffic lights. Wide and oversized vehicles will need to seek an alternative route as the open lane is narrow. 
6417,Glen-eira,Grange Road,Melbourne-metropolitan,"13 Oct, 2016 - 9:25 AM","13 Oct, 2016 - 11:42 AM",Traffic Alert - Emergency Works,Inbound left lane closed at Moodie Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to be completed by 3.30pm. VicRoads advises to take care when travelling through the area. 
6418,Melbourne,Citylink,Melbourne-metropolitan,"13 Oct, 2016 - 9:25 AM","13 Oct, 2016 - 9:48 AM",All Lanes Now Open - Vehicle Breakdown,0
6419,Bayside,South Road,Melbourne-metropolitan,"13 Oct, 2016 - 9:22 AM","13 Oct, 2016 - 9:24 AM",Traffic Alert - Emergency Works,Eastbound left lane closed for utility works. Speed limits have been reduced to 40km/h. Works are expected to be completed by 3.00pm. VicRoads advises to take care when travelling through the area. 
6420,Casey,Monash Freeway (M1),Melbourne-metropolitan,"14 Oct, 2016 - 7:06 AM","14 Oct, 2016 - 7:49 AM",All Lanes Now Open - Vehicle Collision,0
6421,Baw-baw,Princes Avenue (C421),Gippsland,"13 Oct, 2016 - 11:09 PM","14 Oct, 2016 - 4:58 AM",Road Reopened - Vehicle Collision,0
6422,Cardinia,Nar Nar Goon-Longwarry Road (C433),Melbourne-metropolitan,"13 Oct, 2016 - 6:22 PM","14 Oct, 2016 - 4:41 AM",Road Reopened - Vehicle Collision,0
6423,Dandenong,Monash Freeway (M1),Melbourne-metropolitan,"13 Oct, 2016 - 6:01 PM","13 Oct, 2016 - 6:51 PM",All Lanes Now Open - Vehicle Collision,0
